广告|guǎng gào|Quảng cáo.
信用卡|xìn yòng kǎ|Thẻ tín dụng.
不管|bù guǎn|bất kể.
浪费|làng fèi|Lãng phí.
原来|yuán lái|Thì ra, lúc đầu.
师傅|shī fù|Thầy
台词|táicí|Lời thoại 
湿|shī|Ẩm ướt, ướt.
味道|wèi dào|Hương vị.
鲜美|xiān měi|Tươi ngon.
油腻|yóu nì|béo ngậy, nhiều dầu mỡ.
积极|jī jí|Tích cực.
台上|tái shàng|Trên sân khấu.
台下|tái xià|Dưới sân khấu.
观众|guān zhòng|Khán giả.
立刻|lì kè|Ngay lập tức.
紧张|jǐn zhāng|Căng thẳng.
结果|jié guǒ|Kết quả.
淋|lín|Xối, dội.
落汤鸡|luò tāng jī|ướt như gà nhúng nước
湿|shī|Ẩm ướt, ướt.
告别|gào bié|Tạm biệt.
起身|qǐ shēn|Đứng dậy.
不然|bù rán|Nếu không thì.
成熟|chéng shú|chín chắn, chín muồi.
同情心|tóng qíng xīn|Lòng đồng cảm.
脾气|pí qì|Tính khí
受不了|shòu bù liǎo|Không chịu nổi.
小气|xiǎo qì|Keo kiệt, bủn xỉn.
加油站|jiā yóu zhàn|Trạm xăng.
满|mǎn|Đầy, đầy đủ.
恋人|liàn rén|Người yêu, tình nhân.
留学|liú xué|Du học.
作家|zuò jiā|Nhà văn, tác giả.
丢|diū|mất, bỏ quên, thất lạc.
作业本|zuò yè běn|vở bài tập.
理发|lǐ fà|Cắt tóc.
取钱|qǔ qián|Rút tiền.
存钱|cún qián|Gửi tiền.
卡|kǎ|Thẻ
难受|nán shòu|Khó chịu, đau khổ.
售|shòu|Bán.
睁不开|zhēng bù kāi|không mở mắt ra được
仔细|zǐ xì|Kỹ lưỡng, tỉ mỉ.
马马虎虎|mǎ mǎ hū hū|Cẩu thả, qua loa.
感人|gǎn rén|Cảm động.
隔壁|gé bì|Bên cạnh, hàng xóm.
年龄|nián líng|Tuổi tác.
摆|bǎi|Bày, đặt, sắp xếp.
请客|qǐng kè|Mời khách, đãi.
抽烟|chōu yān|Hút thuốc.
骄傲|jiāo ào|Kiêu ngạo, tự hào.
商量|shāng liáng|Thảo luận, bàn bạc.
得意|dé yì|Đắc ý, tự mãn.
失望|shī wàng|Thất vọng.
惊讶|jīng yà|Ngạc nhiên.
操场|cāo chǎng|Sân chơi, sân thể thao.
医务室|yī wù shì|Phòng y tế.
搞到|gǎo dào|Lấy được, đạt được.
棒|bàng|Xuất sắc, tuyệt vời.
及格|jí gé|Đạt tiêu chuẩn, đạt yêu cầu.
拉肚子|lā dù zi|Bị tiêu chảy.
快餐店|kuài cān diàn|Cửa hàng thức ăn nhanh.
歌厅|gē tīng|Quán karaoke, phòng hát.
小提琴|xiǎo tí qín|Violon.
麦克风|mài kè fēng|Microphone.
出差|chū chāi|Đi công tác.
郊游|jiāo yóu|Đi dã ngoại.
视力|shì lì|Thị lực.
光盘|guāng pán|Đĩa CD/DVD.
吹牛|chuī niú|khoác lác.
养|yǎng|Nuôi, chăm sóc.
休闲|xiū xián|Thư giãn, thoải mái.
别提了|bié tí le|Đừng nhắc đến (thất vọng).
倒霉|dǎo méi|Xui xẻo, không may.
签证|qiān zhèng|Visa.
打印|dǎ yìn|In, In ấn.
文件|wén jiàn|Tài liệu.
知识|zhī shì|Kiến thức.
方便|fāng biàn|Tiện lợi.
请假|qǐng jià|Xin nghỉ phép.
翻译|fān yì|Phiên dịch.
文章|wén zhāng|Bài viết.
谦虚|qiān xū|Khiêm tốn.
懂得|dǒng dé|Hiểu biết, thấu hiểu.
平衡|píng héng|Cân bằng.
客观|kè guān|Khách quan.
新鲜|xīn xiān|Tươi mới.
熟悉|shú xī|Quen thuộc.
领导|lǐng dǎo|Lãnh đạo.
后悔|hòu huǐ|Hối tiếc, hối hận.
激动|jī dòng|xúc động, phấn khích.
温柔|wēn róu|Dịu dàng.
学问|xué wèn|Kiến thức, học vấn.
搬家|bān jiā|Chuyển nhà.
对手|duì shǒu|Đối thủ.
邻居|lín jū|Láng giềng.
蹦|bèng|bật lên
跳|tiào|Nhảy.
奖|jiǎng|Giải thưởng.
奖杯|jiǎng bēi|Cúp
安慰|ān wèi|An ủi.
鼓励|gǔ lì|khích lệ.
信心|xìn xīn|Niềm tin, sự tự tin.
糖葫芦|táng hú lu|Kẹo hồ lô 
小吃|xiǎo chī|Món ăn vặt.
山楂|shān zhā|Quả táo mèo.
酸酸甜甜|suān suān tián tián|Chua chua ngọt ngọt.
增加|zēng jiā|Tăng lên.
甜美|tián měi|Ngọt ngào.
果然|guǒ rán|Quả nhiên, đúng như đã nghĩ.
挑|tiāo|Chọn, lựa.
尽快|jìn kuài|Càng sớm càng tốt.
即使|jí shǐ|Ngay cả, dù cho.
非打不可|fēi dǎ bù kě|Không gọi không được
理发店|lǐ fà diàn|Tiệm cắt tóc.
合理|hé lǐ|Hợp lý.
愿意|yuàn yì|Sẵn lòng, muốn.
弄|nòng|Làm, xử lý.
不得不|bù dé bù|buộc phải, không thể không.
了不起|liǎo bù qǐ|giỏi, tài ba, phi thường.
好像|hǎo xiàng|Hình như, giống như.
那还用说|nà hái yòng shuō|Còn cần phải nói gì nữa .
简直|jiǎn zhí|Quả thật, thật là.
研究|yán jiū|Nghiên cứu.
教授|jiào shòu|Giáo sư.
尽管|jǐn guǎn|Mặc dù, cứ.
幸运|xìng yùn|May mắn.
历史|lì shǐ|Lịch sử.
营养|yíng yǎng|Dinh dưỡng.
丰富|fēng fù|Phong phú, đa dạng.
美容|měi róng|Làm đẹp.
社会|shè huì|Xã hội.
各种各样|gè zhǒng gè yàng|Đủ loại, các loại khác nhau.
打交道|dǎ jiāo dào|Giao tiếp, quan hệ.
据|jù|Theo, dựa vào.
统计|tǒng jì|Thống kê.
人口|rén kǒu|Dân số.
河南|Hé nán|Tỉnh Hà Nam (Trung Quốc).
省|shěng|Tỉnh.
青海|Qīng hǎi|Tỉnh Thanh Hải (Trung Quốc).
原来|yuán lái|Thì ra, lúc đầu.
改善|gǎi shàn|Cải thiện.
堵车|dǔ chē|Tắc đường, kẹt xe.
留下|liú xià|Để lại.
印象|yìn xiàng|Ấn tượng.
面试|miàn shì|Phỏng vấn.
表现|biǎo xiàn|Biểu hiện, thể hiện.
出色|chū sè|Xuất sắc, nổi bật.
朵|duǒ|Đoá (đơn vị đếm hoa).
玫瑰|méi guī|Hoa hồng.
赢得|yíng dé|Dành được.
欢心|huān xīn|Sự vui mừng, lòng yêu mến.
终于|zhōng yú|Cuối cùng.
感动|gǎn dòng|Cảm động.
切|qiē|Cắt.
并没有|bìng méi yǒu|Không hề.
想象|xiǎng xiàng|Tưởng tượng.
山茶花|shān chá huā|Hoa trà.
原产于|yuán chǎn yú|Xuất xứ từ.
喜马拉雅山|xǐ mǎ lā yǎ shān|Dãy Himalaya.
带|dài|Mang, dẫn theo.
传到|chuán dào|Truyền đến.
欧美|Ōu měi|Châu Âu và Mỹ.
成为|chéng wéi|Trở thành.
花卉|huā huì|Hoa, cây cảnh.
之一|zhī yī|Một trong những.
